'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBNs',"'PUBLICATION INFO'",'COMMENT','RATINGS','REVIEWS',"'ENTRY DATE'",'COPIES','SUBJECTS','COLLECTIONS','TAGS'
Idoru,"William Gibson","Gibson, William",1996,,,[0399141308],"Putnam Adult (1996), Hardcover, 292 pages",,0,,"2014-01-21 18:50:20",1,"Americans > Japan > Fiction > 
Americans > Japan > Fiction
Friendship > Fiction > 
Friendship > Fiction
Psychological fiction > 
Psychological fiction
Rock musicians > Fiction > 
Rock musicians > Fiction
Rock musicians > Psychology > Fiction > 
Rock musicians > Psychology > Fiction
Science fiction > 
Science fiction
Teenage girls > Fiction > 
Teenage girls > Fiction
Thrillers. gsafd > 
Tokyo (Japan) > Fiction > 
Tokyo (Japan) > Fiction
Virtual reality > Fiction > 
Virtual reality > Fiction","Your library","japan,virtual reality,artificial intelligence,cyberpunk,novel"
"Saturn's Children","Charles Stross","Stross, Charles",2008,,,[0441015948],"Ace Hardcover (2008), Edition: 0, Hardcover, 336 pages",,0,,"2014-01-21 18:50:20",1,"Androids > Fiction
Science fiction","Your library","artificial intelligence,androids,sexuality,mars,space travel,singularity,novel"
"Lazarus Volume 1 TP","Greg Rucka","Rucka, Greg",2013,,,[1607068095],"Image Comics (2013), Paperback, 96 pages",,0,,"2014-01-21 18:50:20",1,,"Your library","dystopia,graphic novels & comics,RECOMMENDER:Tessa"
"John Constantine, Hellblazer, Vol. 1: Original Sins","Jamie Delano","Delano, Jamie",2011,,,[1401230067],"Vertigo (2011), Edition: New edition, Paperback, 304 pages",,0,,"2014-01-21 18:50:19",1,"Comic books, strips, etc > 
Comic books, strips, etc","Your library","magic,hell,occult,graphic novels & comics"
"Pattern Recognition","William Gibson","Gibson, William",2004,,,[0425192938],"Berkley Trade (2004), Edition: 0, Paperback, 368 pages",,0,,"2014-01-21 18:50:20",1,"Business intelligence > Fiction > 
Business intelligence > Fiction
London (England) > Fiction > 
London (England) > Fiction
Mystery fiction > 
Mystery fiction
Women private investigators > England > London > Fiction > 
Women private investigators > London > Fiction","Your library","almost now,branding,london,russia,novel"
"Hellblazer, Vol. 2: The Devil You Know","Jaime Delano","Delano, Jaime",2012,,,[1401233023],"Vertigo (2012), Paperback, 304 pages",,0,,"2014-01-21 18:50:20",1,,"Your library","magic,hell,occult,graphic novels & comics"
Habibi,"Craig Thompson","Thompson, Craig",2011,,,[0375424148],"Pantheon (2011), Edition: 0, Hardcover, 672 pages",,0,,"2014-01-21 18:50:20",1,,"Your library","islam,religion,prostitution,graphic novels & comics"
"Scott Pilgrim, Vol. 1: Scott Pilgrim's Precious Little Life","Bryan Lee O'Malley","O'Malley, Bryan Lee",2004,,,[1932664084],"Oni Press (2004), Paperback, 168 pages",,0,,"2014-01-21 18:50:21",1,"Comic books, strips, etc
Coming of age > Fiction
Graphic novels
Teenagers > Fiction","Your library","canada,graphic novels & comics"
"Sex and Repression in Savage Society (Routledge Classics)","Bronislaw Malinowski","Malinowski, Bronislaw",2001,,,[0415255546],"Routledge (2001), Edition: 2, Paperback, 240 pages",,0,,"2014-01-21 18:50:21",1,"Anthropology > 
Anthropology
Family > 
Family
Matrilineal kinship > 
Oedipus complex > 
Primitive societies > 
Primitive societies
Psychoanalysis > 
Psychoanalysis
Sex > 
Sex
Sex customs > Papua New Guinea > Trobriand Islands > 
Trobriand Islanders > 
Trobriand Islands (Papua New Guinea) > Social life and customs","Your library","anthropology,sexuality,nonfiction"
"Koko Be Good","Jen Wang","Wang, Jen",2010,,,[1596435550],"First Second (2010), Paperback, 304 pages",,0,,"2014-01-21 18:50:21",1,,"Your library","san francisco,friendship,coming of age,graphic novels & comics"
