Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11938931,"Hellblazer, Volume 2: The Devil You Know",Jamie Delano,"Delano, Jamie","David   Lloyd, Richard Piers Rayner, Mark Buckingham, Bryan Talbot","=""1401233023""","=""9781401233020""",0,3.82,Vertigo,Paperback,264,2012,2011,2014/11/29,2014/11/29,,,read,,,,1,,,0,,,,,
23093359,"The Wicked + The Divine, Vol. 1: The Faust Act",Kieron Gillen,"Gillen, Kieron","Jamie McKelvie, Matt Wilson, Clayton Cowles","=""1632150190""","=""9781632150196""",0,3.88,Image Comics,Paperback,144,2014,2014,2014/11/22,2014/11/22,,,read,,,,1,,,0,,,,,
274186,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0679731725""","=""9780679731726""",0,4.11,Vintage Books,Paperback,245,1990,1989,2014/11/01,2014/10/31,,,read,,,,1,,,0,,,,,
310146,The True Confessions of Charlotte Doyle,Avi,"Avi, Avi",,"=""0380714752""","=""9780380714759""",0,3.81,HarperCollins,Mass Market Paperback,278,2003,1990,2014/10/30,2014/10/30,,,read,,,,1,,,0,,,,,
13533790,The Flame Alphabet,Ben Marcus,"Marcus, Ben",,"=""030773997X""","=""9780307739971""",0,2.88,Vintage,Paperback,289,2012,2012,2014/10/29,2014/10/27,,,read,,,,1,,,0,,,,,
38990,Fun Home: A Family Tragicomic,Alison Bechdel,"Bechdel, Alison",,"=""0618477942""","=""9780618477944""",5,4.10,Houghton Mifflin Company,Hardcover,232,2006,2006,2014/06/27,2014/06/27,,,read,,,,1,,,0,,,,,
29999,The Maltese Falcon,Dashiell Hammett,"Hammett, Dashiell",,"=""0752865331""","=""9780752865331""",0,3.92,Orion,Paperback,213,2005,1930,2014/10/19,2014/10/16,,,read,,,,1,,,0,,,,,
12908986,"Gotham Central, Book Four: Corrigan",Greg Rucka,"Rucka, Greg","Ed Brubaker, Kano, Stefano Gaudiano, Steve Lieber","=""1401231942""","=""9781401231941""",0,4.41,DC Comics,Paperback,224,2012,2011,2014/10/16,2014/10/15,,,read,,,,1,,,0,,,,,
983100,American Gods,Neil Gaiman,"Gaiman, Neil",,"=""0060558121""","=""9780060558123""",0,4.11,Harper Perennial,Paperback,592,2003,2001,2014/10/15,2014/10/03,,,read,,,,1,,,0,,,,,
139569,Stone Butch Blues,Leslie Feinberg,"Feinberg, Leslie",,"=""1555838537""","=""9781555838539""",0,4.28,Alyson Books,Hardcover,308,2003,1993,2014/09/30,2014/09/29,,,read,,,,1,,,0,,,,,
1420153,Vurt,Jeff Noon,"Noon, Jeff",,"=""0517599910""","=""9780517599914""",0,4.07,Crown Publishers,Hardcover,342,1995,1993,2014/09/27,2014/09/26,,,read,,,,1,,,0,,,,,
6954438,"Sweet Tooth, Volume 1: Out of the Deep Woods",Jeff Lemire,"Lemire, Jeff","José Villarrubia, Carlos M. Mangual","=""1401226965""","=""9781401226961""",0,3.90,Vertigo,Paperback,128,2010,2010,2014/09/25,2014/09/25,,,read,,,,1,,,0,,,,,
384597,Arcadia,Tom Stoppard,"Stoppard, Tom",,"=""0571169341""","=""9780571169344""",0,4.19,Faber  Faber,Paperback,97,1994,1993,2014/09/25,2014/09/25,,,read,,,,1,,,0,,,,,
1514790,"The Ginger Star (The Book of Skaith, #1)",Leigh Brackett,"Brackett, Leigh",,"=""0345239636""","=""9780345239631""",0,3.74,Ballantine,Mass Market Paperback,186,1974,1974,2014/09/25,2014/09/17,,,read,,,,1,,,0,,,,,
12224530,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""1407230026""","=""9781407230023""",0,4.08,Gollancz,Paperback,215,2007,1968,2014/09/15,2014/09/15,,,read,,,,1,,,0,,,,,
13480960,The Stranger,Albert Camus,"Camus, Albert",Matthew Ward,"=""0679720200""","=""9780679720201""",0,3.96,Vintage International,Paperback,123,1989,1942,2014/09/14,2014/09/13,,,read,,,,1,,,0,,,,,
10856704,"Gotham Central, Book Three: On the Freak Beat",Greg Rucka,"Rucka, Greg","Ed Brubaker, Michael Lark, Stefano Gaudiano, Jason Alexander","=""1401232329""","=""9781401232320""",0,4.30,DC Comics,Paperback,224,2011,2010,2014/09/12,2014/09/12,,,read,,,,1,,,0,,,,,
13538873,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,"Sloan, Robin",,"=""0374214913""","=""9780374214913""",0,3.75,"Farrar, Straus and Giroux",Hardcover,288,2012,2012,2014/09/12,2014/09/11,,,read,,,,1,,,0,,,,,
818109,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099458322""","=""9780099458326""",0,4.13,Vintage,Paperback,505,2005,2002,2014/09/08,2014/09/02,,,read,,,,1,,,0,,,,,
57891,Battle Royale,Koushun Takami,"Takami, Koushun",Yuji Oniki,"=""156931778X""","=""9781569317785""",0,4.24,"VIZ, LLC",Paperback,617,2003,1999,2014/08/30,2014/08/25,,,read,,,,1,,,0,,,,,
9809,Invisible Cities,Italo Calvino,"Calvino, Italo",William Weaver,"=""0156453800""","=""9780156453806""",0,4.19,Harcourt Brace Jovanovich,Paperback,165,1974,1972,2014/08/25,2014/08/24,,,read,,,,1,,,0,,,,,
28881,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,"Moore, Christopher",,"=""0380813815""","=""9780380813810""",0,4.26,William Morrow / HarperCollins / Harper Perennial,Paperback,444,2004,2002,2014/08/22,2014/08/05,,,read,,,,1,,,0,,,,,
21325,"Fables, Vol. 4: March of the Wooden Soldiers",Bill Willingham,"Willingham, Bill","Mark Buckingham, Craig Hamilton, Steve Leialoha, P. Craig Russell","=""1401202225""","=""9781401202224""",0,4.29,Vertigo,Paperback,232,2004,2004,2014/08/01,2014/08/01,,,read,,,,1,,,0,,,,,
359375,Night Watch (Watch #1),Sergei Lukyanenko,"Lukyanenko, Sergei",Andrew Bromfield,"=""1401359795""","=""9781401359799""",5,3.98,Miramax Books / Hyperion,Paperback,455,2006,1998,2013/07/31,2013/07/23,,,read,,,,1,,,0,,,,,
46756,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"Atwood, Margaret",,"=""0385721676""","=""9780385721677""",4,4.00,Anchor Books,Paperback,400,2004,2003,2013/10/30,2013/10/20,,,read,,,,1,,,0,,,,,
17262203,"MaddAddam (MaddAddam, #3)",Margaret Atwood,"Atwood, Margaret",,"=""0385528787""","=""9780385528788""",3,3.99,Nan A. Talese,Hardcover,394,2013,2013,2013/11/24,2013/11/21,,,read,,,,1,,,0,,,,,
9634191,Feathers: The Evolution of a Natural Miracle,Thor Hanson,"Hanson, Thor",,"=""0465020135""","=""9780465020133""",4,4.05,Basic Books,Hardcover,352,2011,2011,2014/02/06,2014/02/02,,,read,,,,1,,,0,,,,,
17860739,S.,J.J. Abrams,"Abrams, J.J.",Doug Dorst,"=""0316201642""","=""9780316201643""",3,3.84,Mulholland Books,Hardcover,456,2013,2013,2014/02/13,2014/01/24,,,read,,,,1,,,0,,,,,
15779,Sideways Stories from Wayside School (Wayside School #1),Louis Sachar,"Sachar, Louis",Adam McCauley,"=""0747571775""","=""9780747571773""",5,4.14,Bloomsbury Childrens Books,Paperback,144,2004,1978,2014/02/25,2014/02/25,,,read,,,,1,,,0,,,,,
6138,The Moonstone,Wilkie Collins,"Collins, Wilkie",Carolyn G. Heilbrun,"=""0375757856""","=""9780375757853""",5,3.90,Modern Library,Paperback,528,2001,1868,2014/04/10,2014/03/26,,,read,,,,1,,,0,,,,,
6255949,All You Need Is Kill,Hiroshi Sakurazaka,"Sakurazaka, Hiroshi","桜坂洋, Alexander O. Smith, Joseph Reeder","=""1421527618""","=""9781421527611""",5,4.05,Haikasoru,Paperback,200,2009,2004,2014/05/23,2014/05/22,,,read,,,,1,,,0,,,,,
18194,The Cyberiad,Stanisław Lem,"Lem, Stanisław","Michael Kandel, Daniel Mróz","=""0156027593""","=""9780156027595""",4,4.19,Harcourt,Paperback,295,2002,1965,2014/06/07,2014/05/28,,,read,,,,1,,,0,,,,,
13872,Geek Love,Katherine Dunn,"Dunn, Katherine",,"=""0375713344""","=""9780375713347""",5,3.98,Random House Vintage,Paperback,348,2002,1989,2014/06/04,2014/06/01,,,read,,,,1,,,0,,,,,
19536001,"Sex Criminals, Vol. 1: One Weird Trick",Matt Fraction,"Fraction, Matt",Chip Zdarsky,"=""1607069466""","=""9781607069461""",3,3.97,Image Comics,Paperback,128,2014,2014,2014/06/27,2014/06/27,,,read,,,,1,,,0,,,,,
106042,"Gotham Central, Vol. 1: In the Line of Duty",Ed Brubaker,"Brubaker, Ed","Greg Rucka, Michael Lark","=""1401201997""","=""9781401201999""",5,4.17,DC Comics,Paperback,128,2004,2004,2014/07/04,2014/06/29,,,read,,,,1,,,0,,,,,
17210471,"Saints (Boxers & Saints, #2)",Gene Luen Yang,"Yang, Gene Luen",,"=""1596436891""","=""9781596436893""",5,3.84,First Second,Paperback,170,2013,2013,2014/07/27,2014/07/27,,,read,,,,1,,,0,,,,,
17210470,"Boxers (Boxers & Saints, #1)",Gene Luen Yang,"Yang, Gene Luen",,"=""1596433590""","=""9781596433595""",5,3.87,First Second,Paperback,336,2013,2013,2014/07/27,2014/07/27,,,read,,,,1,,,0,,,,,
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""0765356155""","=""9780765356154""",5,3.81,Tor Books,Paperback,1006,2006,2004,2014/07/27,2014/07/15,,,read,,,,1,,,0,,,,,
21329,"Fables, Vol. 3: Storybook Love",Bill Willingham,"Willingham, Bill","Mark Buckingham, Steve Leialoha, James Jean","=""140120256X""","=""9781401202569""",0,4.14,Vertigo,Paperback,190,2004,2004,2014/07/30,2014/07/30,,,read,,,,1,,,0,,,,,
167010,"Fables, Volume 2: Animal Farm",Bill Willingham,"Willingham, Bill","Mark Buckingham, Steve Leialoha, James Jean","=""140120077X""","=""9781401200770""",0,4.11,Vertigo,Paperback,128,2003,2003,2014/07/30,2014/07/30,,,read,,,,1,,,0,,,,,
21326,"Fables, Vol. 1: Legends in Exile",Bill Willingham,"Willingham, Bill","Lan Medina, Steve Leialoha, Craig Hamilton, James Jean","=""1563899426""","=""9781563899423""",0,3.98,Vertigo,Paperback,128,2002,2002,2014/07/30,2014/07/30,,,read,,,,1,,,0,,,,,
17210469,Battling Boy,Paul Pope,"Pope, Paul",,"=""1596431458""","=""9781596431454""",0,3.72,First Second,Paperback,202,2013,2013,2014/07/27,2014/07/27,,,read,,,,1,,,0,,,,,
